Y,X,Type,Hoshlds,GeoUID,AP(Cns),ShapeAr,CMA_UID,Popultn,CSD_UID,Dwllngs,PR_UID,CD_UID,ReginNm,Ar(skm),id
5041532.13992173,299645.44658872,CT,831,4620059.0000000000,1359,0.2028100000,"24462",1384,"2466023",1011,"24","2466",Montr_al,0.2028100000,
5041381.20934885,299815.127602375,CT,584,4620060.0000000000,1645,0.0914000000,"24462",1246,"2466023",784,"24","2466",Montr_al,0.0914000000,
5040401.17475391,297712.479152944,CT,1773,4620128.0000000000,3692,3.0228900000,"24462",3491,"2466023",2006,"24","2466",Montr_al,3.0228900000,
5042439.10439654,299802.789567833,CT,693,4620050.0000000000,1336,0.0705900000,"24462",1308,"2466023",768,"24","2466",Montr_al,0.0705900000,
5040713.29735,300004.89802,CT,942,4620056.0000000000,1562,0.2882200000,"24462",1552,"2466023",1148,"24","2466",Montr_al,0.2882200000,
5040292.36955456,299450.675564816,CT,1510,4620062.0000000000,2019,0.8287100000,"24462",2492,"2466023",2596,"24","2466",Montr_al,0.8287100000,
5039596.5407065,299130.25749272,CT,699,4620063.0000000000,397,0.3634800000,"24462",1134,"2466023",898,"24","2466",Montr_al,0.3634800000,
5039831.13041653,298763.135415472,CT,1024,4620064.0000000000,1968,0.2401600000,"24462",1763,"2466023",1488,"24","2466",Montr_al,0.2401600000,
5042156.64965081,297724.062397849,CT,1457,4620163.0000000000,3020,0.2023500000,"24462",3096,"2466023",1639,"24","2466",Montr_al,0.2023500000,
5041940.18448365,297553.592094634,CT,738,4620164.0000000000,1283,0.0693900000,"24462",1301,"2466023",816,"24","2466",Montr_al,0.0693900000,
5042521.63417786,296750.834137859,CT,1099,4620165.0000000000,2338,0.1501300000,"24462",2455,"2466023",1209,"24","2466",Montr_al,0.1501300000,
5043625.92807013,300917.767355928,CT,2118,4620037.0000000000,2996,0.5057300000,"24462",3337,"2466023",2196,"24","2466",Montr_al,0.5057300000,
5043224.92202601,300851.351717461,CT,983,4620038.0000000000,2016,0.2104500000,"24462",1917,"2466023",1083,"24","2466",Montr_al,0.2104500000,
5043043.98604719,301215.637668007,CT,1185,4620039.0000000000,1762,0.4765700000,"24462",2366,"2466023",1283,"24","2466",Montr_al,0.4765700000,
5042539.69420913,300934.144557637,CT,993,4620041.0000000000,1636,0.2592800000,"24462",1680,"2466023",1130,"24","2466",Montr_al,0.2592800000,
5041981.45325747,300898.234886022,CT,562,4620043.0000000000,954,0.3537200000,"24462",1015,"2466023",664,"24","2466",Montr_al,0.3537200000,
5042207.27136327,300165.646044037,CT,1189,4620044.0000000000,2110,0.1363300000,"24462",2053,"2466023",1350,"24","2466",Montr_al,0.1363300000,
5042410.88130238,300476.15352897,CT,900,4620045.0000000000,1462,0.1175100000,"24462",1400,"2466023",1053,"24","2466",Montr_al,0.1175100000,
5042609.87957789,300234.96797805,CT,1202,4620046.0000000000,2013,0.1589900000,"24462",1995,"2466023",1358,"24","2466",Montr_al,0.1589900000,
5042899.76428381,300403.262292884,CT,386,4620047.0000000000,717,0.1185200000,"24462",742,"2466023",400,"24","2466",Montr_al,0.1185200000,
