GeoUID,geometry
4620395.03,POINT (2894.4337033 50337.46338000001)
4620195.02,POINT (2999.60305260537 50493.4877782557)
4620223.01,POINT (2934.4199014090004 50435.3598755278)
4620223.02,POINT (2938.65015224328 50433.7141741646)
4620065.01,POINT (2984.66204035528 50393.634512751)
4620065.02,POINT (2981.36415608919 50390.230522631)
4620066.01,POINT (2987.94898718344 50391.2743971437)
4620066.02,POINT (2984.77839045967 50388.08291589271)
4620251.01,POINT (2967.4053020014103 50465.571881369804)
4620251.02,POINT (2968.9822039874302 50468.272278810604)
4620290.01,POINT (2976.81355764853 50538.248456168905)
4620382.01,POINT (2922.54934569082 50367.828560325004)
4620290.02,POINT (2987.65567090197 50549.561491713495)
4620324.01,POINT (2940.3403867168104 50309.1608660304)
4620324.02,POINT (2944.34389325488 50315.4108568411)
4620382.02,POINT (2913.0263374729298 50355.3314898548)
4620462.01,POINT (2773.4411688274 50332.9357301337)
4620462.02,POINT (2749.2880807648303 50326.9106585852)
4620470.01,POINT (2768.78995890974 50341.9970908412)
4620601.01,POINT (2987.77691566957 50490.20650969561)
4620601.02,POINT (2982.8414650730497 50481.6299433819)
4620602.01,POINT (2980.35768025 50488.090621999996)
4620602.02,POINT (2977.35388995 50481.083045499996)
4620603.03,POINT (2966.9405379435602 50489.7959028666)
4620604.03,POINT (2964.06482022219 50495.1916659955)
4620604.04,POINT (2954.7346069 50496.511035)
4620605.03,POINT (2975.34517262538 50511.8369332298)
4620605.04,POINT (2965.9451125873397 50514.6126726243)
4620070.01,POINT (3003.85799449754 50397.7208729074)
4620069.02,POINT (2999.3544507 50389.9334145)
4620070.02,POINT (3001.68760384753 50394.2789815773)
4620069.01,POINT (2996.5126115147 50394.813799318)
4620287.01,POINT (2877.11420351989 50432.9046557413)
4620287.02,POINT (2869.40866014152 50429.228802703496)
4620290.04,POINT (2994.32256069995 50565.4414526469)
4620326.03,POINT (2942.43377038504 50331.0412172087)
4620594.01,POINT (2992.25507849833 50513.6100379045)
4620383.01,POINT (2910.73979683045 50363.4254438808)
4620383.02,POINT (2916.8878922955205 50376.3714960142)
4620410.02,POINT (2911.08945 50421.67471)
4620522.01,POINT (2780.38666369107 50366.8088922473)
4620594.02,POINT (2989.9150074 50529.68473775)
4620610.07,POINT (2954.2580658422703 50538.2272399169)
4620522.02,POINT (2776.4103396383803 50374.734101689595)
4620101.01,POINT (2931.61670958452 50362.9457869377)
4620101.02,POINT (2935.6125480396 50368.5874734179)
4620129.01,POINT (2982.80478925814 50399.45899915649)
4620195.03,POINT (3000.41230701066 50501.148772269196)
4620290.08,POINT (2978.5345498710103 50562.3793786526)
4620581.01,POINT (3051.2546176759897 50580.5627409337)
